system:index,city,greenSpaceArea_m2,.geo
00000000000000000832,Ballenger Creek,1.585525061763429E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000fd0,Ballston,5340.713088989258,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000064e,Ballwin,2.1790229566139728E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,Baltimore,1.0536719903344396E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000624,Bangor,35372.09707022274,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000067f,Banning,1.447191959374842E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f3b,Baraboo,1.1650649978980769E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007dc,Barberton,1.1609806886604896E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012a1,Bardmoor,6.078419613969844E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e44,Bardstown,2.8834327776911986E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001316,Bargersville,9822890.951032182,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000835,Barnegat,4.84686628734032E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f0,Barnstable,7.007289371726868E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b8e,Barrington,1.0255478291898851E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001096,Barrington,5.8486511921724565E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000134b,Barrington,1.6165303570083315E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5,Barstow,3756725.9205792593,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000527,Bartlesville,1.0811313190148452E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000036b,Bartlett,2.031880070231841E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004b0,Bartlett,3.610885070786696E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014b4,Barton,47942.16425503002,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a25,Bartow,1.8268404408635974E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001278,Bastrop,1.4492778715224558E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012e6,Bastrop,2.2778905867824095E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000076e,Batavia,1.3219816586598065E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cb6,Batavia,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000010a9,Batesville,3.149493786061032E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
