city,state,country,greenspacearea_km2,adjusted_obesity_rate,adjusted_smoking_rate,adjusted_exercising_rate,adjusted_chronic_rate,adjusted_life_expectancy,population_city,population_state
Hickam Housing,Hawaii,United States,49.39,0.17148302114500485,0.06952014370743441,0.3668015201325587,0.08541046226913371,0.5343119616371388,9502.0,1435138
Louisville,Ohio,United States,193.11,0.030710333970109287,0.01426700554516888,0.039335020938092734,0.016362723873837758,0.06069522698029473,9500.0,11785935
Iowa Colony,Texas,United States,151.9,0.011056180444208316,0.0037373004318450647,0.015385220111095516,0.00516993226405234,0.02382529025301229,9500.0,30503301
South Abington,Pennsylvania,United States,14.81,0.024474692059665397,0.011431293297328749,0.03722498073745516,0.013556341410293708,0.05627713623300307,9498.0,12961683
Pryor Creek,Oklahoma,United States,188.98,0.09354130815743357,0.03741652326297343,0.09003350910152981,0.046536800808323196,0.17328527336164568,9480.0,4053824
The Village,Oklahoma,United States,72.48,0.09353144093083468,0.037412576372333875,0.09002401189592839,0.04653189186309025,0.17326699432437123,9479.0,4053824
Fairfield,Iowa,United States,40.63,0.11048554975297815,0.04578946580671555,0.1432767155887551,0.047266545348867664,0.22894732903357776,9474.0,3207004
Helena-West Helena,Arkansas,United States,44.72,0.11545271881637639,0.06143072471780455,0.14447024707503783,0.06914815244617195,0.22781846654140583,9470.0,3067732
Salem,Utah,United States,3.39,0.08614587911171555,0.019112751314174833,0.1548409852844019,0.04265744496207136,0.2177191671440785,9467.0,3417734
Bridge City,Texas,United States,137.03,0.011010791913963673,0.0037219578300722277,0.015322059733797336,0.005148708331599915,0.02372748116671045,9461.0,30503301
