city,lat,lng
Clifton,40.863,-74.1575
Waukegan,42.3698,-87.8716
Bloomington,44.8306,-93.3151
Avondale,33.3873,-112.3235
Atascocita,29.9777,-95.1953
Missoula,46.8751,-114.0214
Fort Myers,26.6194,-81.8302
Newton,42.3316,-71.2085
Lawrence,42.7002,-71.1626
Muncie,40.1989,-85.395
Rapid City,44.0716,-103.2204
Troy,42.5817,-83.1457
Livermore,37.6868,-121.7607
Citrus Heights,38.6948,-121.288
Hawthorne,33.9147,-118.3476
Winchester,39.1735,-78.1746
Springdale,36.1901,-94.1574
Clarkstown,41.1319,-73.966
Whittier,33.9678,-118.0188
Deerfield Beach,26.305,-80.1277
Decatur,39.8557,-88.9342
San Ramon,37.7624,-121.9365
Vineland,39.4653,-74.9981
Mission,26.2039,-98.3256
Auburn,47.3039,-122.2108
Lake Forest,33.6605,-117.6714
Colonie,42.7396,-73.7874
Upper Darby,39.949,-75.2891
Newport Beach,33.6151,-117.8668
Melbourne,28.1086,-80.6627
Brooklyn Park,45.1112,-93.3505
Bryan,30.665,-96.3807
Westland,42.3192,-83.3805
Napa,38.2975,-122.301
Baytown,29.7587,-94.9671
Cicero,41.8445,-87.7593
Anderson,40.0891,-85.6892
Franklin,35.92,-86.8516
Farmington Hills,42.486,-83.3771
Buena Park,33.8572,-118.0046
Albany,31.5776,-84.1762
Pine Hills,28.5818,-81.4692
State College,40.7909,-77.8567
Redwood City,37.5025,-122.2253
Warwick,41.7062,-71.4334
Jackson,42.2431,-84.4038
Cranston,41.7658,-71.4858
Largo,27.9088,-82.7712
Miami Beach,25.8171,-80.1396
Alhambra,34.084,-118.1355
Johns Creek,34.0333,-84.2027
Mountain View,37.4001,-122.0796
Salisbury,38.3756,-75.5865
Morgantown,39.6383,-79.9464
Silver Spring,39.0028,-77.0207
Layton,41.077,-111.962
Springfield,39.93,-83.7959
Lakewood,33.8471,-118.1222
Florence,34.8303,-87.6655
Folsom,38.6668,-121.1422
Madera,36.963,-120.0778
New Rochelle,40.9304,-73.7836
Parma,41.3843,-81.7286
Terre Haute,39.466,-87.3751
Somerville,42.3908,-71.1014
Flagstaff,35.1872,-111.6194
Boynton Beach,26.5281,-80.0811
Homestead,25.4665,-80.4472
Newark,40.0706,-82.425
Plymouth,45.0225,-93.4617
Anniston,33.6712,-85.8135
Texarkana,33.45,-94.0847
Tustin,33.7311,-117.8107
Pharr,26.1685,-98.1904
Port Huron,42.9821,-82.4388
Turlock,37.5053,-120.8588
Rancho Cordova,38.5737,-121.2527
The Villages,28.9034,-81.9887
Milpitas,37.4336,-121.8921
Perris,33.7898,-117.2233
Upland,34.1178,-117.6604
Alton,38.9037,-90.152
Pleasanton,37.6663,-121.8805
Kendall,25.6697,-80.3556
Jonesboro,35.8212,-90.6791
Bellflower,33.888,-118.1271
Battle Creek,42.2985,-85.2296
Chino Hills,33.9508,-117.7254
Cheyenne,41.135,-104.7902
Lebanon,40.3412,-76.4228
Carmichael,38.6318,-121.3263
South Jordan,40.557,-111.9784
Davis,38.5553,-121.737
Elizabethtown,37.7031,-85.8773
Schaumburg,42.0308,-88.0838
Alameda,37.7668,-122.267
Hammond,41.6168,-87.4909
Pasco,46.2506,-119.1305
Evanston,42.0464,-87.6943
Lehi,40.4136,-111.8725
Alexandria,31.2923,-92.4702
North Port,27.0576,-82.1977
Arlington Heights,42.0955,-87.9826
Camarillo,34.223,-119.0321
Wyoming,42.8908,-85.7066
Flower Mound,33.0343,-97.1146
Bethlehem,40.6266,-75.3679
Hattiesburg,31.3074,-89.317
Loveland,40.4166,-105.0623
Pittsburg,38.0182,-121.8965
Cedar Park,30.5105,-97.8197
Wenatchee,47.436,-120.3295
Southfield,42.4765,-83.2605
Rochester Hills,42.6645,-83.1563
Hammond,30.5061,-90.4563
Valdosta,30.8502,-83.2788
Owensboro,37.7575,-87.1172
Apple Valley,34.5352,-117.2109
Woodbury,44.9057,-92.923
Pawtucket,41.8744,-71.3743
St. Joseph,39.7598,-94.821
Cherry Hill,39.9034,-74.9947
Doral,25.8152,-80.3565
Dover,43.1887,-70.8845
Missouri City,29.563,-95.5365
Saratoga Springs,43.0674,-73.7775
Pocatello,42.8724,-112.4647
Oshkosh,44.0227,-88.5619
Brick,40.06,-74.1099
New Britain,41.6759,-72.7862
Castle Rock,39.3763,-104.8535
Lauderhill,26.1605,-80.2241
Broomfield,39.9542,-105.0526
Dale City,38.6473,-77.3459
Bolingbrook,41.6901,-88.1021
Redmond,47.6763,-122.1169
Mansfield,32.569,-97.1213
Ellicott City,39.2774,-76.8345
Sheboygan,43.7403,-87.7316
Mansfield,40.7656,-82.5275
Glens Falls,43.3109,-73.6458
Daytona Beach,29.1995,-81.0982
Lodi,38.1218,-121.2932
Redlands,34.0512,-117.1712
Harrisonburg,38.4362,-78.8735
Dothan,31.2336,-85.407
Cleveland,35.1817,-84.8707
Jackson,35.6538,-88.8354
Mount Vernon,40.9136,-73.8291
Centreville,38.839,-77.4389
Altoona,40.5082,-78.4007
Framingham,42.3085,-71.4368
Camden,39.9361,-75.1073
Georgetown,30.666,-97.6966
Baldwin Park,34.0829,-117.9722
Rocklin,38.8075,-121.2489
Porterville,36.0643,-119.0338
Tamarac,26.2056,-80.2539
Glen Burnie,39.156,-76.6071
Blacksburg,37.23,-80.4279
Wausau,44.962,-89.6459
Sumter,33.9392,-80.393
Janesville,42.6854,-89.0135
Brunswick,31.1449,-81.4746
Dublin,37.7161,-121.8963
Wilmington,39.7415,-75.5416
Waukesha,43.0087,-88.2464
Fairbanks,64.8353,-147.6533
Lakeville,44.6774,-93.252
St. Charles,38.7954,-90.5157
Redondo Beach,33.8577,-118.3765
Spring Hill,35.7437,-86.9116
Bayonne,40.6668,-74.1158
Grand Forks,47.9214,-97.0884
Noblesville,40.0355,-86.0042
El Paso de Robles,35.6394,-120.656
North Richland Hills,32.8604,-97.218
Maple Grove,45.1089,-93.4626
Passaic,40.8574,-74.1282
Blaine,45.1696,-93.2077
Lake Elsinore,33.6847,-117.3344
Rogers,36.317,-94.1531
Casas Adobes,32.3423,-111.0113
Sherman,33.6273,-96.6221
Walnut Creek,37.9024,-122.0399
Conway,35.0753,-92.4692
Eastvale,33.9617,-117.5803
Union City,37.6032,-122.0181
Michigan City,41.7092,-86.869
Poinciana,28.1217,-81.4821
Tulare,36.1995,-119.34
Gary,41.5905,-87.3473
Gaithersburg,39.1346,-77.2131
East Orange,40.7651,-74.2117
Wesley Chapel,28.2106,-82.3238
West Des Moines,41.5521,-93.7806
Dalton,34.769,-84.972
Dubuque,42.5002,-90.707
Schenectady,42.8025,-73.9275
Southampton,40.8997,-72.4931
Ankeny,41.7288,-93.6031
Maricopa,33.0408,-112.0011
Eagan,44.817,-93.1638
Franklin,40.4759,-74.5515
Hanford,36.3274,-119.6549
Bristol,36.5572,-82.2154
Yorba Linda,33.889,-117.7714
Weston,26.1006,-80.4054
Watsonville,36.9206,-121.7708
Palo Alto,37.3905,-122.1468
South Hill,47.1198,-122.2853
Shawnee,39.0158,-94.8076
San Marcos,29.8734,-97.9356
Great Falls,47.5022,-111.2996
Haverhill,42.7838,-71.0871
Union City,40.7675,-74.0323
Palatine,42.118,-88.043
Longview,46.1461,-122.963
Corvallis,44.5698,-123.2779
Rockville,39.0834,-77.1553
Old Bridge,40.4004,-74.3126
Skokie,42.036,-87.74
Middletown,40.3892,-74.082
Mount Vernon,48.4203,-122.3115
Casper,42.842,-106.3208
Ames,42.0256,-93.6217
Delray Beach,26.455,-80.0905
Sammamish,47.6017,-122.0416
Lynwood,33.924,-118.2016
Dundalk,39.2704,-76.4942
Bethesda,38.9866,-77.1188
Morristown,36.2043,-83.3001
Kankakee,41.102,-87.8643
Alpharetta,34.0704,-84.2738
Novi,42.4786,-83.4893
Gloucester,39.7924,-75.0363
Kenner,30.0109,-90.2549
Bay City,43.5902,-83.8887
Victoria,28.8287,-96.9849
South San Francisco,37.6538,-122.4196
Apex,35.7237,-78.8743
Parkersburg,39.2623,-81.542
Malden,42.4305,-71.0576
Castro Valley,37.7088,-122.0626
Bozeman,45.6833,-111.0558
Brentwood,40.7839,-73.2522
Waltham,42.3889,-71.2423
Pflugerville,30.4515,-97.6018
North Little Rock,34.7807,-92.2371
Brentwood,37.9356,-121.719
Laguna Niguel,33.5275,-117.705
San Clemente,33.4499,-117.6102
Burnsville,44.7648,-93.2793
Spring,30.0613,-95.383
Port Charlotte,26.9918,-82.114
Eden Prairie,44.8488,-93.4595
Greenwood,39.6019,-86.1073
Lower Merion,40.0282,-75.2807
Millcreek,40.6892,-111.8292
Bellevue,41.1485,-95.939
Coon Rapids,45.1755,-93.3094
Rowlett,32.9155,-96.5489
Hamilton,39.3939,-84.5653
Lakewood,47.1628,-122.5299
Florence-Graham,33.9682,-118.2447
Commerce City,39.8641,-104.843
Bossier City,32.5224,-93.6668
Taylor,42.226,-83.2688
La Habra,33.9282,-117.9515
Port Orange,29.1085,-81.0137
Brookline,42.3243,-71.1408
Moore,35.3293,-97.4757
Council Bluffs,41.2369,-95.8516
Bensalem,40.1086,-74.9431
Leander,30.5728,-97.8618
Dearborn Heights,42.3164,-83.2769
Reston,38.9497,-77.3461
North Bergen,40.7938,-74.0242
Montebello,34.0155,-118.1108
Pontiac,42.6493,-83.2878
Encinitas,33.0492,-117.261
Queen Creek,33.2454,-111.6173
Medford,42.4234,-71.1087
Springfield,44.0538,-122.9811
Plymouth,41.8783,-70.6309
Hendersonville,36.3063,-86.5997
Palm Harbor,28.0847,-82.7481
Pico Rivera,33.9901,-118.0888
Marietta,33.9533,-84.5422
Wellington,26.6461,-80.2699
Sanford,28.7891,-81.2757
Woodland,38.6712,-121.75
Caldwell,43.6453,-116.6594
Huntersville,35.406,-80.8716
Bristol,41.6812,-72.9407
Jupiter,26.92,-80.1128
San Rafael,37.9905,-122.5221
La Mesa,32.7703,-117.0204
Richland,46.2824,-119.2939
Revere,42.4189,-71.004
Meriden,41.5369,-72.7946
Piscataway,40.5467,-74.4636
