system:index,city,greenSpaceArea_m2,.geo
00000000000000000c0d,Dyer,1.3751432409972485E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c3b,Dyersburg,1.5584935623759133E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002dc,Eagan,425.7567596435547,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000065e,Eagle,3.3594113433419E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000427,Eagle Mountain,4885068.536262151,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006ef,Eagle Pass,1.770854688782076E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012c2,Eagle Point,5.4048758026498675E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000089d,Easley,2.891906310935428E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001134,East Bakersfield,2.1449163459191985E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000fdc,East Bethel,7024.545295715332,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011a9,East Bradford,2.0239670068206683E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012c4,East Brandywine,1.8967166585953116E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d90,East Bridgewater,1.3441334365855888E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e4,East Brunswick,1.133331470103989E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000076d,East Chicago,891043.9763001385,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000df2,East Cleveland,252772.9325337429,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001126,East Cocalico,1.2383842594461119E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001491,East Donegal,6.6645734862347566E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000068e,East Fishkill,4.441593954315487E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000135a,East Franklin,7.995866445938604E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000105c,East Glenville,7614.630310058594,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ad5,East Goshen,1.9179058091028202E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013a9,East Grand Forks,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001073,East Grand Rapids,73.10306549072266,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bdd,East Greenbush,409956.5322988473,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000da1,East Greenwich,1.1994497128099279E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000100a,East Greenwich,1.4183422958289814E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006f5,East Hampton,6.6828590686982036E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000010bf,East Hanover,8.93171274636688E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009d5,East Hemet,1.4244232136553772E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000773,East Hempfield,9.211222399731067E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bf8,East Highland Park,2.0823578449172252E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e3,East Honolulu,1.5204144917054977E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e43,East Islip,1.4533864920935743E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005c7,East Lake,1.7523806046988988E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006b6,East Lake-Orient Park,1.3105322806868872E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b37,East Lampeter,1.2389266460606399E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000437,East Lansing,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001275,East Liverpool,1.2377671222391257E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
